Work Section (Location),Department," Inspection Request for:
(Type of Inspection)"
,,
AIS area ,Civil,Survey and setting out
Power plant area,Civil,Survey and setting out
AIS area ,Civil,Top soil cleaning
Power plant area,Civil,Top soil cleaning
AIS area ,Civil,1st layer backfilling with compaction
AIS area ,Civil,2nd layer backfilling with compaction
AIS 220 kV switchyard,Civil,1st layer backfilling with compaction
AIS area ,Civil,3rd layer backfilling with compaction
AIS 220 kV switchyard,Civil,2nd layer backfilling with compaction
AIS 500 kV switchyard,Civil,1st layer backfilling with compaction
AIS area ,Civil,4th layer backfilling with compaction
AIS 220 kV switchyard,Civil,3rd layer backfilling with compaction
AIS 500 kV switchyard,Civil,2nd layer backfilling with compaction
AIS area ,Civil,5th layer backfilling with compaction
AIS 220 kV switchyard,Civil,4th layer backfilling with compaction
AIS 500 kV switchyard,Civil,3rd layer backfilling with compaction
AIS 220 kV switchyard,Civil,5th layer backfilling with compaction
AIS 500 kV switchyard,Civil,4th layer backfilling with compaction
AIS 220 kV switchyard,Civil,6th layer backfilling with compaction
AIS 500 kV switchyard,Civil,5th layer backfilling with compaction
AIS area ,Civil,6th layer backfilling with compaction
AIS 220 kV switchyard,Civil,7th layer backfilling with compaction
AIS 500 kV switchyard,Civil,6th layer backfilling with compaction
AIS area ,Civil,7th layer backfilling with compaction
AIS 220 kV switchyard,Civil,8th layer backfilling with compaction
AIS 500 kV switchyard,Civil,7th layer backfilling with compaction
AIS area ,Civil,8th layer backfilling with compaction
AIS 220 kV switchyard,Civil,9th layer backfilling with compaction
AIS 500 kV switchyard,Civil,8th layer backfilling with compaction
AIS 500 kV switchyard,Civil,9th layer backfilling with compaction
AIS 220 kV switchyard,Civil,10th layer backfilling with compaction
AIS 500 kV switchyard,Civil,10th layer backfilling with compaction
AIS 220 kV switchyard,Civil,11th layer backfilling with compaction
AIS 500 kV switchyard,Civil,11th layer backfilling with compaction
AIS area ,Civil,9th layer backfilling with compaction
AIS 220 kV switchyard,Civil,12th layer backfilling with compaction
AIS 500 kV switchyard,Civil,12th layer backfilling with compaction
AIS area ,Civil,Excavation works
AIS 220 kV switchyard,Civil,Excavation works
AIS 500 kV switchyard,Civil,13th layer backfilling with compaction
AIS 500 kV switchyard,Civil,14th layer backfilling with compaction
AIS 500 kV switchyard,Civil,15th layer backfilling with compaction
AIS 500 kV switchyard,Civil,16th layer backfilling with compaction
AIS 500 kV switchyard,Civil,Excavation works
Power plant ACC,Civil,1st layer backfilling with compaction
Fuel gas regulation and metering station,Civil,1st layer backfilling with compaction
Gas turbine building,Civil,1st layer backfilling with compaction
Power plant ACC,Civil,2nd layer backfilling with compaction
Fuel gas regulation and metering station,Civil,2nd layer backfilling with compaction
Gas turbine building,Civil,2nd layer backfilling with compaction
Power plant ACC,Civil,3rd layer backfilling with compaction
Fuel gas regulation and metering station,Civil,3rd layer backfilling with compaction
Gas turbine building,Civil,3rd layer backfilling with compaction
Chemical bulk storage shed,Civil,1st layer backfilling with compaction
Steam turbine building,Civil,1st layer backfilling with compaction
Sewage treatment plant,Civil,1st layer backfilling with compaction
Power plant ACC,Civil,4th layer backfilling with compaction
Gas turbine building,Civil,4th layer backfilling with compaction
Chemical bulk storage shed,Civil,2nd layer backfilling with compaction
Steam turbine building,Civil,2nd layer backfilling with compaction
Sewage treatment plant,Civil,2nd layer backfilling with compaction
Hydrogen generation plant,Civil,1st layer backfilling with compaction
Power plant ACC,Civil,5th layer backfilling with compaction
Gas turbine building,Civil,5th layer backfilling with compaction
Chemical bulk storage shed,Civil,3rd layer backfilling with compaction
Steam turbine building,Civil,3rd layer backfilling with compaction
Sewage treatment plant,Civil,3rd layer backfilling with compaction
Hydrogen generation plant,Civil,2nd layer backfilling with compaction
Fuel gas regulation and metering station,Civil,4th layer backfilling with compaction
Power plant ACC,Civil,6th layer backfilling with compaction
Gas turbine building,Civil,6th layer backfilling with compaction
Chemical bulk storage shed,Civil,4th layer backfilling with compaction
Steam turbine building,Civil,4th layer backfilling with compaction
Sewage treatment plant,Civil,4th layer backfilling with compaction
Hydrogen generation plant,Civil,3rd layer backfilling with compaction
Fuel gas regulation and metering station,Civil,5th layer backfilling with compaction
Power plant ACC,Civil,7th layer backfilling with compaction
Gas turbine building,Civil,7th layer backfilling with compaction
Chemical bulk storage shed,Civil,5th layer backfilling with compaction
Steam turbine building,Civil,5th layer backfilling with compaction
Sewage treatment plant,Civil,5th layer backfilling with compaction
Hydrogen generation plant,Civil,4th layer backfilling with compaction
Fuel gas regulation and metering station,Civil,6th layer backfilling with compaction
Control and administration building,Civil,1st layer backfilling with compaction
Evaporation pond,Civil,1st layer backfilling with compaction
Power plant ACC,Civil,8th layer backfilling with compaction
Chemical bulk storage shed,Civil,6th layer backfilling with compaction
Steam turbine building,Civil,6th layer backfilling with compaction
Sewage treatment plant,Civil,6th layer backfilling with compaction
Hydrogen generation plant,Civil,5th layer backfilling with compaction
Fuel gas regulation and metering station,Civil,7th layer backfilling with compaction
Control and administration building,Civil,2nd layer backfilling with compaction
Evaporation pond,Civil,2nd layer backfilling with compaction
Power plant ACC,Civil,9th layer backfilling with compaction
